term	gene
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SNRPE
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	DNAJC8
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SNRPF
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SREK1
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SRSF6
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SRSF7
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SNRPA
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SRSF9
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SNRPB
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SF3B5
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SF3B2
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	DHX8
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	DDX1
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	CSTF3
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	CSTF2
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	CSTF2T
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	U2AF1
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	PRPF8
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	PPM1G
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SFRS5
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	PABPN1
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	POLR2A
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	U2AF2
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	TRA2B
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SFRS8
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	CSTF1
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SNRPB2
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SRSF10
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SF3B1
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SRPK2
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	CPSF4
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SF3A1
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SF3A2
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	CPSF1
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	FUS
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	CPSF3
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	CPSF2
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SUPT5H
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	WDR57
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SFRS3
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	CLK4
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	HNRNPAB
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	LSM2
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	CLK2
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SRPK1
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	DKFZp686A13234
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	HNRNPL
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	CLK1
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	NUDT21
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	LSM7
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	PHF5A
MALATE ASPARTATE SHUTTLE%WIKIPATHWAYS_20250210%WP4315%HOMO SAPIENS	HEL-S-32
MALATE ASPARTATE SHUTTLE%WIKIPATHWAYS_20250210%WP4315%HOMO SAPIENS	GOT2
MALATE ASPARTATE SHUTTLE%WIKIPATHWAYS_20250210%WP4315%HOMO SAPIENS	SLC1A3
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	ITGB1
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	SRC
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	PXN
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	PIK3CD
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	AREG
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	EGFR
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	DKFZp686M02159
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	MAPK9
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	MAPK8
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	AKT3
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	MAPK1
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	HRAS
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	MAP2K1
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	MAP2K2
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	DKFZp666O0110
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	ITGA1
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	MAPK14
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	MAPK13
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	COL1A1
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	MAPK10
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	MAPK11
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	GRB2
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	KRAS
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	SOS1
NANOPARTICLE MEDIATED ACTIVATION OF RECEPTOR SIGNALING%WIKIPATHWAYS_20250210%WP2643%HOMO SAPIENS	RAF1
NON CLASSICAL ROLE OF VITAMIN D%WIKIPATHWAYS_20250210%WP5133%HOMO SAPIENS	CYP27B1
NON CLASSICAL ROLE OF VITAMIN D%WIKIPATHWAYS_20250210%WP5133%HOMO SAPIENS	ACE2
NON CLASSICAL ROLE OF VITAMIN D%WIKIPATHWAYS_20250210%WP5133%HOMO SAPIENS	CYP2R1
NON CLASSICAL ROLE OF VITAMIN D%WIKIPATHWAYS_20250210%WP5133%HOMO SAPIENS	REN
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	PANK4
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	INTS11
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	INTS13
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	INTS10
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	GDE1
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	TMEM52
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	GRIK2
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	NOC2L
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	IFIT1
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	ELAVL1
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	IFIH1
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	METTL14
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	TRIM25
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	SDF4
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	PLEKHN1
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	CCNL2
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	TNFRSF4
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	SAMD11
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	TMEM88B
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	MUSK
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	TNFRSF18
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	HEL-S-72p
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	PEX2
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	COMMD1
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	ATAD3B
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	ATAD3A
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	RBX1
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	DKK3
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	ATAD3C
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	GLTPD1
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	ACAP3
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	RER1
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	SCNN1D
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	MMP23B
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	C1QTNF12
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	PEX5
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	MXRA8
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	VWA1
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	AURKAIP1
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	ARF6
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	MCM2
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	TNLG2B
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	TNLG2A
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	PERM1
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	KLHL17
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	MEPCE
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	LRP4
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	UBE2J2
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	PRKCZ
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	MRPL20
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	VTN
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	PARD6B
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	PHKG2
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	DVL1
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	BTLA
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	TNFRSF14
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	FLJ13052
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	TAS1R3
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	HES5
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	HES4
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	OR4F5
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	SMAD2
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	SMAD4
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	CDK11A
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	CFAP74
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	CD160
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	MIB2
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	B3GALT6
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	PEX10
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250210%WP5345%HOMO SAPIENS	PEX12
